이름,주소,평점,위도,경도
꿉자 애월점,"층 2동, 18, 1 애월읍 애월로1길, 특별자치도, 제주시",4.9,33.4624183,126.3106576
Myeongja,제주시 애월읍 애월리 2490-2,4.9,33.4623155,126.310548
호식이두마리치킨애월읍내점,제주시 애월읍 애월리 1713-1,4.8,33.4654439,126.3203652
제주 호커센터,제주시 애월읍 애월리 1819-36 호커센터,4.4,33.4669209,126.320337
꽃밥,제주시 애월읍 일주서로 6059,4.4,33.45157140000001,126.3085415
오라숲소리 애월점,제주시 애월읍 고내리 1240,4.2,33.4673469,126.331415
애월리에,제주시 애월읍 엄수로 8-11,4.1,33.46369699999999,126.324496
그라스랜드 애월야시장점,제주시 특별자치도 애월읍 애월로1길 18,4.0,33.4623558,126.3106912
명자,제주시 특별자치도 애월읍 애월로1길 22,4.0,33.4623278,126.3105494
페리카나치킨,제주시 애월읍 애월리 1717-6,3.8,33.4646256,126.3199967
놀맨,"24 애월읍 애월로1길, 특별자치도, 제주시",3.6,33.4624571,126.3102644
붉은제주,"37 애월읍 애월로, 특별자치도, 제주시",3.5,33.46218829999999,126.3123305
